dataset,recording,item,reason
ds004703,sub-SD011_ses-01_task-PassiveListen,C182,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C183,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C184,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C185,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C186,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C187,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C188,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C189,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C190,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C191,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C192,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C193,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C194,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C195,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C196,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C197,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C198,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C199,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C200,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C201,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C202,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C203,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C204,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C205,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C206,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C207,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C208,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C209,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C210,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C211,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C212,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C213,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C214,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C215,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C216,README unused C-prefix channel; exclude at S06
