variant,seed,epoch,train_loss,validation_loss,status
parallel_multiscale,11,5,3.81941656768322,3.8345967531204224,PASS
parallel_multiscale,11,6,3.8201597929000854,3.8358079195022583,PASS
parallel_multiscale,11,7,3.8186332285404205,3.83502060174942,PASS
parallel_multiscale,11,8,3.8187892884016037,3.83530455827713,PASS
parallel_multiscale,22,1,3.904531329870224,3.852153480052948,PASS
parallel_multiscale,22,2,3.838486060500145,3.8362027406692505,PASS
parallel_multiscale,22,3,3.8272065073251724,3.837696373462677,PASS
parallel_multiscale,22,4,3.8221307545900345,3.8357922434806824,PASS
parallel_multiscale,22,5,3.8207677751779556,3.8346824645996094,PASS
parallel_multiscale,22,6,3.8188309222459793,3.837125778198242,PASS
parallel_multiscale,22,7,3.81914322078228,3.83395916223526,PASS
parallel_multiscale,22,8,3.819517433643341,3.837010383605957,PASS
parallel_multiscale,33,1,3.951494887471199,3.8822776079177856,PASS
parallel_multiscale,33,2,3.8575155586004257,3.8465309739112854,PASS
parallel_multiscale,33,3,3.83530692756176,3.838834762573242,PASS
parallel_multiscale,33,4,3.8244659453630447,3.83422714471817,PASS
parallel_multiscale,33,5,3.819529414176941,3.8358694911003113,PASS
parallel_multiscale,33,6,3.819748133420944,3.8345524072647095,PASS
parallel_multiscale,33,7,3.8179292529821396,3.8360846042633057,PASS
parallel_multiscale,33,8,3.8190460056066513,3.836432993412018,PASS
rf_stride_coupled,11,1,4.079565986990929,3.9377245903015137,PASS
rf_stride_coupled,11,2,3.870664894580841,3.847371280193329,PASS
rf_stride_coupled,11,3,3.832831636071205,3.8327285051345825,PASS
rf_stride_coupled,11,4,3.8196429163217545,3.838475823402405,PASS
rf_stride_coupled,11,5,3.818245992064476,3.8331609964370728,PASS
rf_stride_coupled,11,6,3.818345621228218,3.8378718495368958,PASS
rf_stride_coupled,11,7,3.8183174282312393,3.8361433148384094,PASS
rf_stride_coupled,11,8,3.815078526735306,3.8329226970672607,PASS
rf_stride_coupled,22,1,4.175214767456055,3.951153039932251,PASS
rf_stride_coupled,22,2,3.895533010363579,3.8619795441627502,PASS
rf_stride_coupled,22,3,3.8377635926008224,3.838275969028473,PASS
rf_stride_coupled,22,4,3.8244311809539795,3.835944354534149,PASS
rf_stride_coupled,22,5,3.8202021569013596,3.834604263305664,PASS
rf_stride_coupled,22,6,3.817464366555214,3.8343406319618225,PASS
rf_stride_coupled,22,7,3.8180165886878967,3.8323240876197815,PASS
rf_stride_coupled,22,8,3.8139529824256897,3.829180419445038,PASS
rf_stride_coupled,33,1,4.048686102032661,3.8878009915351868,PASS
rf_stride_coupled,33,2,3.857150599360466,3.838617444038391,PASS
rf_stride_coupled,33,3,3.8277993500232697,3.8326866030693054,PASS
rf_stride_coupled,33,4,3.8198392540216446,3.832115650177002,PASS
rf_stride_coupled,33,5,3.8146872520446777,3.8298996686935425,PASS
rf_stride_coupled,33,6,3.812847912311554,3.826080560684204,PASS
rf_stride_coupled,33,7,3.806689143180847,3.8180882930755615,PASS
rf_stride_coupled,33,8,3.7576387971639633,3.730921149253845,PASS
rf_dilation_decoupled,11,1,4.077279776334763,3.9387285113334656,PASS
rf_dilation_decoupled,11,2,3.8690465837717056,3.8459912538528442,PASS
rf_dilation_decoupled,11,3,3.8322415947914124,3.8325339555740356,PASS
rf_dilation_decoupled,11,4,3.8195770829916,3.837843954563141,PASS
rf_dilation_decoupled,11,5,3.8177706748247147,3.831829607486725,PASS
rf_dilation_decoupled,11,6,3.817447856068611,3.835483193397522,PASS
rf_dilation_decoupled,11,7,3.8174156546592712,3.8327202200889587,PASS
rf_dilation_decoupled,11,8,3.8137052953243256,3.831222176551819,PASS
rf_dilation_decoupled,22,1,4.173335164785385,3.9509010910987854,PASS
rf_dilation_decoupled,22,2,3.8936986923217773,3.8606638312339783,PASS
rf_dilation_decoupled,22,3,3.836784228682518,3.838299572467804,PASS
rf_dilation_decoupled,22,4,3.82426118850708,3.83467835187912,PASS
rf_dilation_decoupled,22,5,3.819638207554817,3.8335434198379517,PASS
rf_dilation_decoupled,22,6,3.815809667110443,3.8310704231262207,PASS
rf_dilation_decoupled,22,7,3.8150257021188736,3.8280277252197266,PASS
rf_dilation_decoupled,22,8,3.8021154403686523,3.811347723007202,PASS
rf_dilation_decoupled,33,1,4.048690751194954,3.8865787982940674,PASS
rf_dilation_decoupled,33,2,3.8569232523441315,3.8382898569107056,PASS
rf_dilation_decoupled,33,3,3.8274740129709244,3.832983136177063,PASS
rf_dilation_decoupled,33,4,3.819998785853386,3.831548273563385,PASS
rf_dilation_decoupled,33,5,3.814916431903839,3.828862965106964,PASS
rf_dilation_decoupled,33,6,3.8125052005052567,3.82470566034317,PASS
rf_dilation_decoupled,33,7,3.8078824281692505,3.8222579956054688,PASS
rf_dilation_decoupled,33,8,3.795843482017517,3.7903133034706116,PASS
kernel_3,11,1,4.054251566529274,3.9026954770088196,PASS
kernel_3,11,2,3.8531278371810913,3.841472327709198,PASS
kernel_3,11,3,3.8279475569725037,3.8356894850730896,PASS
kernel_3,11,4,3.8237268775701523,3.8392043709754944,PASS
kernel_3,11,5,3.8197293281555176,3.8323904871940613,PASS
kernel_3,11,6,3.819432571530342,3.8359248638153076,PASS
kernel_3,11,7,3.818754643201828,3.832513213157654,PASS
kernel_3,11,8,3.815773084759712,3.8318270444869995,PASS
kernel_3,22,1,4.15005649626255,3.9588904976844788,PASS
kernel_3,22,2,3.882687881588936,3.8548988103866577,PASS
kernel_3,22,3,3.8296851068735123,3.8545063734054565,PASS
kernel_3,22,4,3.8221502900123596,3.820063054561615,PASS
kernel_3,22,5,3.7977007627487183,3.797689378261566,PASS
kernel_3,22,6,3.7356343120336533,3.7109707593917847,PASS
kernel_3,22,7,3.6446385979652405,3.756953239440918,PASS
kernel_3,22,8,3.5640131384134293,3.5804068446159363,PASS
kernel_3,33,1,4.026570752263069,3.8708556294441223,PASS
kernel_3,33,2,3.8510547280311584,3.8302180767059326,PASS
kernel_3,33,3,3.816371366381645,3.822229564189911,PASS
kernel_3,33,4,3.7790664583444595,3.7655746936798096,PASS
kernel_3,33,5,3.6811813414096832,3.678511083126068,PASS
kernel_3,33,6,3.597861811518669,3.619282364845276,PASS
kernel_3,33,7,3.542601153254509,3.5805007815361023,PASS
kernel_3,33,8,3.4947774708271027,3.562298357486725,PASS
kernel_7,11,1,4.202995657920837,3.9138280153274536,PASS
kernel_7,11,2,3.8732729256153107,3.8449974060058594,PASS
kernel_7,11,3,3.8302715122699738,3.8359665274620056,PASS
