variant,split,metric,mean,std,n_seeds
kernel_7,test_seen,regular_vs_jitter_balanced_accuracy,0.506617329162534,0.012398087535216939,3
kernel_7,test_unseen,jitter_magnitude_mae_ms,2.5067312717437744,0.0248210797802485,3
kernel_7,test_unseen,omission_detection_balanced_accuracy,0.5322099551564942,0.05415118651404473,3
kernel_7,test_unseen,onset_timing_error_ms,78.42517344156902,1.0515235569920094,3
kernel_7,test_unseen,phase_magnitude_mae_rad,0.7874181469281515,0.02952053756987026,3
kernel_7,test_unseen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
kernel_7,test_unseen,rate_mae_hz,1.9680349429448445,0.057448957181702204,3
kernel_7,test_unseen,regular_vs_jitter_balanced_accuracy,0.49893418598454575,0.004072049248768006,3
kernel_7,test_unseen,unseen_jitter_mae_ms,2.5067312717437744,0.0248210797802485,3
kernel_7,test_unseen,unseen_phase_magnitude_mae_rad,0.7874181469281515,0.02952053756987026,3
kernel_7,test_unseen,unseen_rate_mae_hz,1.9680349429448445,0.057448957181702204,3
late_downsample,test_seen,jitter_magnitude_mae_ms,1.9683499336242676,0.0459915319058348,3
late_downsample,test_seen,omission_detection_balanced_accuracy,0.5436865796902418,0.0018293651822099948,3
late_downsample,test_seen,onset_timing_error_ms,87.2261734008789,3.0985351226197477,3
late_downsample,test_seen,phase_magnitude_mae_rad,0.5312946438789368,0.0068250223104737535,3
late_downsample,test_seen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
late_downsample,test_seen,rate_discrimination_balanced_accuracy,0.4460646167557932,0.0033911504392270825,3
late_downsample,test_seen,rate_mae_hz,1.5276482105255127,0.034376323651748565,3
late_downsample,test_seen,regular_vs_jitter_balanced_accuracy,0.5253401490297805,0.02324636783023796,3
late_downsample,test_unseen,jitter_magnitude_mae_ms,2.512819528579712,0.012808109287932355,3
late_downsample,test_unseen,omission_detection_balanced_accuracy,0.5720728287039157,0.03841631746736035,3
late_downsample,test_unseen,onset_timing_error_ms,79.81818135579427,2.54747073611932,3
late_downsample,test_unseen,phase_magnitude_mae_rad,0.7494066754976908,0.030091121047965557,3
late_downsample,test_unseen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
late_downsample,test_unseen,rate_mae_hz,1.8482493956883748,0.12290571813602306,3
late_downsample,test_unseen,regular_vs_jitter_balanced_accuracy,0.5305294226157535,0.0029719504677583617,3
late_downsample,test_unseen,unseen_jitter_mae_ms,2.512819528579712,0.012808109287932355,3
late_downsample,test_unseen,unseen_phase_magnitude_mae_rad,0.7494066754976908,0.030091121047965557,3
late_downsample,test_unseen,unseen_rate_mae_hz,1.8482493956883748,0.12290571813602306,3
ordinary_second_branch,test_seen,jitter_magnitude_mae_ms,1.9427005449930828,0.007475208362390389,3
ordinary_second_branch,test_seen,omission_detection_balanced_accuracy,0.5117011266244501,0.020266945819344438,3
ordinary_second_branch,test_seen,onset_timing_error_ms,85.05507151285808,0.051530718995942276,3
ordinary_second_branch,test_seen,phase_magnitude_mae_rad,0.5215370059013367,0.012061832004176319,3
ordinary_second_branch,test_seen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
ordinary_second_branch,test_seen,rate_discrimination_balanced_accuracy,0.34742528223410574,0.10381670821739808,3
ordinary_second_branch,test_seen,rate_mae_hz,1.8343312740325928,0.30694918261026494,3
ordinary_second_branch,test_seen,regular_vs_jitter_balanced_accuracy,0.5070064342208997,0.027417475694246032,3
ordinary_second_branch,test_unseen,jitter_magnitude_mae_ms,2.5105852286020913,0.002036097238622405,3
ordinary_second_branch,test_unseen,omission_detection_balanced_accuracy,0.5235950137686359,0.04086776265256477,3
ordinary_second_branch,test_unseen,onset_timing_error_ms,78.56901041666667,0.18835368998890914,3
ordinary_second_branch,test_unseen,phase_magnitude_mae_rad,0.7501185735066732,0.01895552954581573,3
ordinary_second_branch,test_unseen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
ordinary_second_branch,test_unseen,rate_mae_hz,1.94162384668986,0.1627000999522639,3
ordinary_second_branch,test_unseen,regular_vs_jitter_balanced_accuracy,0.5087775933099673,0.02947433741570048,3
ordinary_second_branch,test_unseen,unseen_jitter_mae_ms,2.5105852286020913,0.002036097238622405,3
ordinary_second_branch,test_unseen,unseen_phase_magnitude_mae_rad,0.7501185735066732,0.01895552954581573,3
ordinary_second_branch,test_unseen,unseen_rate_mae_hz,1.94162384668986,0.1627000999522639,3
parallel_multiscale,test_seen,jitter_magnitude_mae_ms,1.9489532709121704,0.019243413460738597,3
parallel_multiscale,test_seen,omission_detection_balanced_accuracy,0.5,0.0,3
parallel_multiscale,test_seen,onset_timing_error_ms,85.08037821451823,0.0857244043185747,3
parallel_multiscale,test_seen,phase_magnitude_mae_rad,0.525362471739451,0.010904282640998826,3
parallel_multiscale,test_seen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
parallel_multiscale,test_seen,rate_discrimination_balanced_accuracy,0.25,0.0,3
parallel_multiscale,test_seen,rate_mae_hz,2.0196279684702554,9.220245820450392e-05,3
parallel_multiscale,test_seen,regular_vs_jitter_balanced_accuracy,0.5,0.0,3
parallel_multiscale,test_unseen,jitter_magnitude_mae_ms,2.5140514373779297,0.010923626450617611,3
parallel_multiscale,test_unseen,omission_detection_balanced_accuracy,0.5,0.0,3
parallel_multiscale,test_unseen,onset_timing_error_ms,78.31355285644531,0.29712339569028995,3
parallel_multiscale,test_unseen,phase_magnitude_mae_rad,0.7449525992075602,0.018730309632848514,3
parallel_multiscale,test_unseen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
parallel_multiscale,test_unseen,rate_mae_hz,2.0225396951039634,0.00080585145855575,3
parallel_multiscale,test_unseen,regular_vs_jitter_balanced_accuracy,0.5,0.0,3
parallel_multiscale,test_unseen,unseen_jitter_mae_ms,2.5140514373779297,0.010923626450617611,3
parallel_multiscale,test_unseen,unseen_phase_magnitude_mae_rad,0.7449525992075602,0.018730309632848514,3
parallel_multiscale,test_unseen,unseen_rate_mae_hz,2.0225396951039634,0.00080585145855575,3
rf_dilation_decoupled,test_seen,jitter_magnitude_mae_ms,1.9687748750050862,0.04931085736824377,3
rf_dilation_decoupled,test_seen,omission_detection_balanced_accuracy,0.4969558251316091,0.005992328833653801,3
rf_dilation_decoupled,test_seen,onset_timing_error_ms,86.67821756998698,2.589059590094451,3
rf_dilation_decoupled,test_seen,phase_magnitude_mae_rad,0.540112574895223,0.025025202553862324,3
rf_dilation_decoupled,test_seen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
rf_dilation_decoupled,test_seen,rate_discrimination_balanced_accuracy,0.3218646761734997,0.10015845996259512,3
rf_dilation_decoupled,test_seen,rate_mae_hz,1.9557958443959553,0.05513916421038616,3
rf_dilation_decoupled,test_seen,regular_vs_jitter_balanced_accuracy,0.4906309605554284,0.0066537078272692965,3
rf_dilation_decoupled,test_unseen,jitter_magnitude_mae_ms,2.5319720109303794,0.00957698959394723,3
rf_dilation_decoupled,test_unseen,omission_detection_balanced_accuracy,0.49494301668015533,0.014818754406422685,3
rf_dilation_decoupled,test_unseen,onset_timing_error_ms,78.7806905110677,1.1589895324168533,3
rf_dilation_decoupled,test_unseen,phase_magnitude_mae_rad,0.7527796427408854,0.04746407808934052,3
rf_dilation_decoupled,test_unseen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
rf_dilation_decoupled,test_unseen,rate_mae_hz,2.0062228043874106,0.041401008929314254,3
rf_dilation_decoupled,test_unseen,regular_vs_jitter_balanced_accuracy,0.4891881366701511,0.005058621513799326,3
rf_dilation_decoupled,test_unseen,unseen_jitter_mae_ms,2.5319720109303794,0.00957698959394723,3
rf_dilation_decoupled,test_unseen,unseen_phase_magnitude_mae_rad,0.7527796427408854,0.04746407808934052,3
rf_dilation_decoupled,test_unseen,unseen_rate_mae_hz,2.0062228043874106,0.041401008929314254,3
rf_stride_coupled,test_seen,jitter_magnitude_mae_ms,1.9711954991022747,0.050700027314417195,3
rf_stride_coupled,test_seen,omission_detection_balanced_accuracy,0.4932860303654536,0.01162893652750908,3
rf_stride_coupled,test_seen,onset_timing_error_ms,88.21047465006511,6.134537206077199,3
rf_stride_coupled,test_seen,phase_magnitude_mae_rad,0.5360705455144247,0.02330327518792583,3
rf_stride_coupled,test_seen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
rf_stride_coupled,test_seen,rate_discrimination_balanced_accuracy,0.29933333333333334,0.07766950618785225,3
rf_stride_coupled,test_seen,rate_mae_hz,1.906203031539917,0.17651278529345366,3
rf_stride_coupled,test_seen,regular_vs_jitter_balanced_accuracy,0.4947280079346914,0.00495250473333043,3
rf_stride_coupled,test_unseen,jitter_magnitude_mae_ms,2.53379225730896,0.003713414159783254,3
rf_stride_coupled,test_unseen,omission_detection_balanced_accuracy,0.48814522984205516,0.018731359524767874,3
rf_stride_coupled,test_unseen,onset_timing_error_ms,79.06174723307292,2.652467102426048,3
rf_stride_coupled,test_unseen,phase_magnitude_mae_rad,0.7541666428248087,0.036792472765151504,3
rf_stride_coupled,test_unseen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
rf_stride_coupled,test_unseen,rate_mae_hz,2.023322025934855,0.058929128738541704,3
rf_stride_coupled,test_unseen,regular_vs_jitter_balanced_accuracy,0.5097819180552993,0.01963777514964325,3
rf_stride_coupled,test_unseen,unseen_jitter_mae_ms,2.53379225730896,0.003713414159783254,3
rf_stride_coupled,test_unseen,unseen_phase_magnitude_mae_rad,0.7541666428248087,0.036792472765151504,3
rf_stride_coupled,test_unseen,unseen_rate_mae_hz,2.023322025934855,0.058929128738541704,3
uniform_local,test_seen,jitter_magnitude_mae_ms,1.9598509073257446,0.03783404363539774,3
uniform_local,test_seen,omission_detection_balanced_accuracy,0.5381322957198444,0.013890657746497562,3
uniform_local,test_seen,onset_timing_error_ms,85.64206441243489,0.8089196934345517,3
uniform_local,test_seen,phase_magnitude_mae_rad,0.5219659209251404,0.004351790721886406,3
uniform_local,test_seen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
uniform_local,test_seen,rate_discrimination_balanced_accuracy,0.3839088999236058,0.14274482257731272,3
uniform_local,test_seen,rate_mae_hz,1.6555825074513753,0.3072108681160882,3
uniform_local,test_seen,regular_vs_jitter_balanced_accuracy,0.5163729304951552,0.023522645909430023,3
uniform_local,test_unseen,jitter_magnitude_mae_ms,2.527427355448405,0.021507820362104094,3
uniform_local,test_unseen,omission_detection_balanced_accuracy,0.5498088679178056,0.04366307175657637,3
uniform_local,test_unseen,onset_timing_error_ms,78.64536031087239,0.18310381655477467,3
uniform_local,test_unseen,phase_magnitude_mae_rad,0.763361930847168,0.007097452426381589,3
uniform_local,test_unseen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
uniform_local,test_unseen,rate_mae_hz,1.8610868851343791,0.16052235317938437,3
uniform_local,test_unseen,regular_vs_jitter_balanced_accuracy,0.5068355571952695,0.02437247050161914,3
uniform_local,test_unseen,unseen_jitter_mae_ms,2.527427355448405,0.021507820362104094,3
uniform_local,test_unseen,unseen_phase_magnitude_mae_rad,0.763361930847168,0.007097452426381589,3
uniform_local,test_unseen,unseen_rate_mae_hz,1.8610868851343791,0.16052235317938437,3
