variant,seed,split,metric,value
delayed_growth,22,test_seen,rate_mae_hz,1.5629394054412842
delayed_growth,22,test_seen,jitter_magnitude_mae_ms,1.9302912950515747
delayed_growth,22,test_seen,phase_magnitude_mae_rad,0.530238687992096
delayed_growth,22,test_unseen,unseen_rate_mae_hz,1.9703046083450317
delayed_growth,22,test_unseen,unseen_jitter_mae_ms,2.532926082611084
delayed_growth,22,test_unseen,unseen_phase_magnitude_mae_rad,0.7784715890884399
delayed_growth,22,test_unseen,regular_vs_jitter_balanced_accuracy,0.4475496525856238
delayed_growth,22,test_unseen,omission_detection_balanced_accuracy,0.5759463710354727
delayed_growth,22,test_unseen,phase_shift_detection_balanced_accuracy,0.5
delayed_growth,22,test_unseen,onset_timing_error_ms,81.44493103027344
delayed_growth,22,test_unseen,rate_mae_hz,1.9703046083450317
delayed_growth,22,test_unseen,jitter_magnitude_mae_ms,2.532926082611084
delayed_growth,22,test_unseen,phase_magnitude_mae_rad,0.7784715890884399
delayed_growth,33,test_seen,rate_discrimination_balanced_accuracy,0.4722026992615228
delayed_growth,33,test_seen,regular_vs_jitter_balanced_accuracy,0.5258640421149005
delayed_growth,33,test_seen,omission_detection_balanced_accuracy,0.5425192645151445
delayed_growth,33,test_seen,phase_shift_detection_balanced_accuracy,0.5
delayed_growth,33,test_seen,onset_timing_error_ms,84.90966796875
delayed_growth,33,test_seen,rate_mae_hz,1.5172001123428345
delayed_growth,33,test_seen,jitter_magnitude_mae_ms,2.0119681358337402
delayed_growth,33,test_seen,phase_magnitude_mae_rad,0.5298994183540344
delayed_growth,33,test_unseen,unseen_rate_mae_hz,1.7192546129226685
delayed_growth,33,test_unseen,unseen_jitter_mae_ms,2.499981641769409
delayed_growth,33,test_unseen,unseen_phase_magnitude_mae_rad,0.7527103424072266
delayed_growth,33,test_unseen,regular_vs_jitter_balanced_accuracy,0.5051189817376868
delayed_growth,33,test_unseen,omission_detection_balanced_accuracy,0.5521172141035625
delayed_growth,33,test_unseen,phase_shift_detection_balanced_accuracy,0.5
delayed_growth,33,test_unseen,onset_timing_error_ms,78.91088104248047
delayed_growth,33,test_unseen,rate_mae_hz,1.7192546129226685
delayed_growth,33,test_unseen,jitter_magnitude_mae_ms,2.499981641769409
delayed_growth,33,test_unseen,phase_magnitude_mae_rad,0.7527103424072266
parallel_multiscale,11,test_seen,rate_discrimination_balanced_accuracy,0.25
parallel_multiscale,11,test_seen,regular_vs_jitter_balanced_accuracy,0.5
parallel_multiscale,11,test_seen,omission_detection_balanced_accuracy,0.5
parallel_multiscale,11,test_seen,phase_shift_detection_balanced_accuracy,0.5
parallel_multiscale,11,test_seen,onset_timing_error_ms,85.17694091796875
parallel_multiscale,11,test_seen,rate_mae_hz,2.0197339057922363
parallel_multiscale,11,test_seen,jitter_magnitude_mae_ms,1.938126564025879
parallel_multiscale,11,test_seen,phase_magnitude_mae_rad,0.5130505561828613
parallel_multiscale,11,test_unseen,unseen_rate_mae_hz,2.0216104984283447
parallel_multiscale,11,test_unseen,unseen_jitter_mae_ms,2.525509834289551
parallel_multiscale,11,test_unseen,unseen_phase_magnitude_mae_rad,0.7664554119110107
parallel_multiscale,11,test_unseen,regular_vs_jitter_balanced_accuracy,0.5
parallel_multiscale,11,test_unseen,omission_detection_balanced_accuracy,0.5
parallel_multiscale,11,test_unseen,phase_shift_detection_balanced_accuracy,0.5
parallel_multiscale,11,test_unseen,onset_timing_error_ms,77.98301696777344
parallel_multiscale,11,test_unseen,rate_mae_hz,2.0216104984283447
parallel_multiscale,11,test_unseen,jitter_magnitude_mae_ms,2.525509834289551
parallel_multiscale,11,test_unseen,phase_magnitude_mae_rad,0.7664554119110107
